City,Population,Murders and manslaughters,"Murders per 10,000 people",Forcible rapes,"Rapes per 10,000",Robberies,"Robberies per 10,000",Aggravated assaults,"Assaults per 10,000",Burglaries,"Burglaries per 10,000",Larceny-thefts,"Larceny-thefts per 10,000",Motor vehicle thefts,"Motor vehicle thefts per 10,000",Arsons,"Arsons per 10,000"
Southborough,"9,569",0,0,0,0,0,0,0,0,14,14.6,36,37.6,5,5.2,0,0
"Hamilton, MA","8,170",0,0,0,0,0,0,0,0,11,13.5,49,60,1,1.2,0,0
Boxford,"8,088",0,0,0,0,0,0,0,0,9,11.1,54,66.8,2,2.5,0,0
Lincoln,"7,984",0,0,0,0,0,0,0,0,17,21.3,42,52.6,2,2.5,0,0
Eastham,"5,440",0,0,0,0,0,0,0,0,26,47.8,54,99.3,0,0,0,0
Manchester-by-the-Sea,"5,268",0,0,0,0,0,0,0,0,2,3.8,9,17.1,1,1.9,0,0
Sherborn,"4,218",0,0,0,0,0,0,0,0,11,26.1,11,26.1,0,0,0,0
Princeton,"3,510",0,0,0,0,0,0,0,0,19,54.1,13,37,0,0,0,0
Cheshire,"3,287",0,0,0,0,0,0,0,0,8,24.3,4,12.2,0,0,,
Berlin,"2,740",0,0,0,0,0,0,0,0,1,3.6,16,58.4,1,3.6,0,0
"West Tisbury, MA","2,646",0,0,0,0,0,0,0,0,2,7.6,11,41.6,2,7.6,0,0
Shelburne,"2,034",0,0,0,0,0,0,0,0,1,4.9,14,68.8,0,0,0,0
Leverett,"1,753",0,0,0,0,0,0,0,0,4,22.8,3,17.1,0,0,0,0
Charlemont,"1,368",0,0,0,0,0,0,0,0,3,21.9,7,51.2,0,0,0,0
"New Salem, MA",998,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Monterey,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquinnah,355,0,0,0,0,0,0,0,0,0,0,7,197.2,0,0,0,0
Franklin,"31,608",0,0,0,0,2,0.6,1,0.3,15,4.7,78,24.7,3,0.9,1,0.3
Hudson,"19,766",0,0,1,0.5,0,0,1,0.5,22,11.1,137,69.3,13,6.6,0,0
Millis,"7,928",0,0,0,0,0,0,1,1.3,13,16.4,36,45.4,2,2.5,0,0
"Hopkinton, MA","14,419",0,0,0,0,0,0,2,1.4,3,2.1,78,54.1,3,2.1,0,0
Topsfield,"6,056",0,0,0,0,0,0,1,1.7,9,14.9,55,90.8,3,5,0,0
Needham,"28,231",0,0,1,0.4,3,1.1,1,0.4,41,14.5,191,67.7,5,1.8,0,0
Wrentham,"11,181",0,0,1,0.9,1,0.9,0,0,7,6.3,36,32.2,0,0,0,0
Groton,"10,776",0,0,1,0.9,0,0,1,0.9,12,11.1,27,25.1,0,0,1,0.9
Shrewsbury,"33,706",0,0,0,0,1,0.3,6,1.8,106,31.4,314,93.2,19,5.6,0,0
Westford,"21,913",0,0,0,0,1,0.5,4,1.8,29,13.2,95,43.4,9,4.1,0,0
Sudbury,"17,190",0,0,2,1.2,0,0,2,1.2,21,12.2,90,52.4,1,0.6,0,0
Medway,"12,782",0,0,1,0.8,0,0,2,1.6,25,19.6,86,67.3,2,1.6,0,0
Winchester,"21,171",0,0,1,0.5,1,0.5,3,1.4,49,23.1,238,112.4,8,3.8,1,0.5
Georgetown,"8,241",0,0,0,0,0,0,2,2.4,5,6.1,35,42.5,1,1.2,,
Clinton,"14,101",0,0,0,0,0,0,4,2.8,23,16.3,92,65.2,7,5,0,0
