City,Unemployment Aug 2010 (%),Unemployment Aug 2009 (%),Percent change
Abington,8.7,9,-0.3
"Acton, MA",5.9,6.7,-0.8
Acushnet,9.9,10.2,-0.3
Adams,10,10.5,-0.5
Agawam,8.6,8.3,0.3
Alford,5.1,3.8,1.3
Amesbury,7.9,8.5,-0.6
Amherst,6.8,5.9,0.9
Andover,6.3,7.2,-0.9
Aquinnah,2.7,1.5,1.2
"Arlington, MA",6.1,6.9,-0.8
Ashburnham,9.3,10.3,-1
"Ashby, MA",9.8,10.5,-0.7
Ashfield,6.9,6.3,0.6
Ashland,6.6,7.9,-1.3
Athol,12.5,12.2,0.3
"Attleborough, MA",10.4,11.4,-1
Auburn,8.5,8.5,0
Avon,9.6,10.8,-1.2
Ayer,7.9,8.4,-0.5
Barnstable,6.5,6.8,-0.3
"Barre, MA",9.7,9.6,0.1
Becket,9.7,9.1,0.6
Bedford,6,6.9,-0.9
Belchertown,7,6.9,0.1
Bellingham,10.2,10.3,-0.1
Belmont,5.8,6.4,-0.6
"Berkley, MA",7.5,7.8,-0.3
"Berlin, MA",7.4,7.7,-0.3
Bernardston,9.8,8.7,1.1
"Beverly, MA",6.9,7.8,-0.9
Billerica,7.8,8.7,-0.9
Blackstone,11.5,11.5,0
Blandford,8.5,6.1,2.4
Bolton,6.3,7,-0.7
"Boston, MA",8.3,8.6,-0.3
Bourne,8.6,7.8,0.8
Boxborough,6,6.1,-0.1
Boxford,5.5,5.6,-0.1
Boylston,8.4,7.8,0.6
"Braintree, MA",7.9,8.1,-0.2
Brewster,5.8,5.8,0
Bridgewater,8.4,8.8,-0.4
Brimfield,7.9,8.5,-0.6
Brockton,11.8,11.4,0.4
Brookfield,10.6,11.2,-0.6
Brookline,4.9,5.8,-0.9
Buckland,5,4.3,0.7
Burlington,6.2,7.1,-0.9
"Cambridge, MA",5.6,5.9,-0.3
Canton,7.2,7.7,-0.5
Carlisle,5.6,6.4,-0.8
Carver,8.8,9.1,-0.3
Charlemont,6.6,8.3,-1.7
Charlton,8,8.5,-0.5
Chatham,5.8,5.4,0.4
Chelmsford,7.2,7.8,-0.6
Chelsea,9.3,9.2,0.1
Cheshire,7.4,7.5,-0.1
Chester,9.6,10.5,-0.9
Chesterfield,7.7,7.5,0.2
Chicopee,10.1,10.1,0
Chilmark,4.6,2.1,2.5
Clarksburg,7.2,9.5,-2.3
Clinton,9.9,9.3,0.6
Cohasset,6.1,7.3,-1.2
Colrain,6.7,8.3,-1.6
Concord,5.6,6.4,-0.8
Conway,4.9,4.9,0
